platform,emulator_name,supported_os,homepage,winget_id,homebrew_formula,flatpak_id,retroarch_core,save_directory,save_extensions,notes
Elektronika BK,RetroArch (bk core),Windows;Linux;macOS;Android;iOS,https://www.retroarch.com/,,,org.libretro.RetroArch,bk,~/.config/retroarch/states,.state,Libretro port; no native saves; supports save states and rewind; requires BIOS ROMs in system/bk folder
Emerson Arcadia 2001,WinArcadia,Windows,https://amigan.1emu.net/releases/,,,,,./States,.cos,Recommended. High accuracy emulator by James Jacobs. Also emulates Interton VC 4000 family and other Signetics 2650-based systems. Portable application stores saves alongside executable.
Emerson Arcadia 2001,DroidArcadia,Android,https://amigan.1emu.net/releases/,,,,,/storage/emulated/0/DroidArcadia,.cos,Recommended Android port of WinArcadia subset. Requires Android 8.0+. COS save states not cross-compatible with WinArcadia.
Emerson Arcadia 2001,MAME,Windows;Linux;macOS,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/sta,.sta,Multi-system emulator. Arcadia 2001 support via MESS integration. Requires ar_bios.zip and arcadia.xml hash file.
Enterprise,ep128emu,Windows;Linux;macOS,https://github.com/istvan-v/ep128emu,,,,ep128emu-core,~/.ep128emu,.ep128s;.ep128d;.dat,Most accurate Enterprise 64/128 emulator; also emulates ZX Spectrum and Amstrad CPC
Entex Adventure Vision,MAME,Windows;Linux;macOS;FreeBSD,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame_libretro,~/.mame/nvram;~/.mame/sta,.nv;.sta;.cfg,Multi-purpose emulation framework; primary recommended emulator for Adventure Vision; requires advision.zip BIOS
Entex Adventure Vision,AdViEmulator,Windows;Linux;BSD,https://sourceforge.net/projects/adviemulator/,,,,,,,Dedicated Adventure Vision emulator with Qt interface and debugging capabilities; v1.1 available from MEGA
Epoch Game Pocket Computer,MAME,Windows;Linux;macOS,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/nvram;~/.mame/sta,.nv;.sta;.cfg,Requires gamepock.zip BIOS file containing egpcboot.bin
Epoch Super Cassette Vision,eSCV,Windows,http://takeda-toshiya.my.coocan.jp/scv/index.html,,,,,,,Standalone Windows emulator; basis for EmuSCV libretro core
Epoch Super Cassette Vision,EmuSCV,Windows;Linux;macOS,https://gitlab.com/MaaaX-EmuSCV/libretro-emuscv/,,,,emuscv,~/.config/retroarch/saves,.srm,RetroArch/libretro core based on eSCV; saves not supported by core itself
Epoch Super Cassette Vision,MAME,Windows;Linux;macOS,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/nvram,.nv;.sta,Multi-system emulator; .nv for NVRAM; .sta for save states
Exidy Sorcerer,MAME,Windows;Linux;macOS,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/sta/sorcerer,.sta,Listed as Good support on Emulation General Wiki; requires sorcerer.zip and sorcererd.zip BIOS files
Exidy Sorcerer,JSorcerer,Windows;Linux;macOS,http://www.liaquay.co.uk/sorcerer/,,,,,,.tape,Java-based browser emulator; uses TAPE format for cassette images
Exidy Sorcerer,Windows Sorcerer,Windows,http://www.geocities.ws/emucompboy/,,,,,,,Freeware; last updated 2002; runs WSorcer.exe; no BIOS required
Fairchild Channel F,MAME,Windows;Linux;macOS;FreeBSD,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/nvram,.nv;.sta;.cfg,Multi-system emulator with accurate Fairchild Channel F emulation; multiple RetroArch cores available (mame_2003
Fairchild Channel F,FreeChaF,Windows;Linux;macOS;FreeBSD;Android;iOS,https://github.com/libretro/FreeChaF,,,,freechaf,~/.config/retroarch/saves,.srm;.state,Libretro-only core designed for low-power devices; requires BIOS files (sl31253.bin
Fujitsu FM-7,XM7,Windows;Linux;macOS;FreeBSD,https://web.archive.org/web/20210722152017/http://retropc.net/ryu/xm7/xm7.shtml,,,,,,.xm7,Recommended; No longer maintained; Latest version (3.4L77SX+z09) Windows only; earlier versions for other platforms
Fujitsu FM-7,MAME,Windows;Linux;macOS;FreeBSD,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/sta/fm7,.sta,Active development; FM-7 driver experimental; Supports fm7 and fm77av models
Fujitsu FM Towns Marty,Tsugaru,Windows;Linux;macOS,https://github.com/captainys/TOWNSEMU,,,,,./CMOS.BIN,.BIN,Primary recommendation; 97%+ compatibility; actively developed; CMOS file stores BIOS settings; specify location with -CMOS parameter
Fujitsu FM Towns Marty,UNZ,Windows,http://members.at.infoseek.co.jp/townsemu/,,,,,[emulator_dir]/cmos.dat,.dat;.bin,High compatibility; last updated 2010; saves to floppy disk images; Japanese documentation but English interface
Fujitsu FM Towns Marty,MAME,Windows;Linux;macOS;FreeBSD,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/nvram;~/.mame/sta,.nv;.sta,FM Towns driver improving; use fmtowns fmtownsux or fmtmarty drivers; experimental status
Funtech Super Acan,MAME,Windows;Linux;macOS;FreeBSD,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/sta,.sta;.nv,Sound emulation is preliminary; MAME is the only known emulator for this system
Game Wave Family Entertainment System,,,,,,,,,,No recommended emulators found. The Game Wave is not listed on the Emulation General Wiki. Only a fan research project exists (github.com/gamewavefans/GameWaveFans) which has developed file unpacking tools but no playable emulator. The console uses DVD-based media with Lua scripting and has a small 13-game library of trivia/puzzle games.
GamePark GP32,GeePee32,Windows,https://www.schuerewegen.tk/gp32,,,,,~/.geepee32,.smc,Proprietary; inactive since 2004; requires BIOS; saves stored in virtual SMC files; not marked as recommended
GamePark GP32,MAME,Windows;Linux;macOS,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/sta;~/.mame/nvram,.sta,GP32 driver status is Preliminary; requires gp32.zip BIOS files; not marked as recommended; libretro core available via mame core
GameWave,,,,,,,,,,"No recommended emulators found. The GameWave (ZAPiT Games, 2005) remains unemulated. GameWaveFans project on GitHub provides file extraction tools but no working emulator."
GCE Vectrex,MAME,Windows;Linux;macOS;FreeBSD,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/sta;~/.mame/nvram,.sta,.nv
GCE Vectrex,vecx,Windows;Linux;macOS,https://github.com/jhawthorn/vecx,,,,vecx,~/.config/retroarch/saves,.srm;.state,Standalone requires building from source; primarily used as RetroArch/libretro core
Hartung Game Master,MAME,Windows;Linux;macOS;FreeBSD,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/nvram;~/.mame/sta,.nv;.sta;.cfg,Multi-system emulator; Game Master support added in version 0.139; also known as Systema 2000 and Super Game
Hector HRX,MAME,Windows;Linux;macOS,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame_libretro,~/.mame/sta;~/.mame/nvram,.sta;.nv,Emulation status imperfect (sound); supports hec2hrx and hec2mdhrx ROM sets
Hector HRX,VB Hector,Windows,http://hectorvictor.free.fr/,,,,,,VB.NET emulator by Yo_fr; supports HR+/HRX/MX40c/MX80c; cassette and floppy disk support; v4.1 latest,
Hector HRX,DCHector,Windows,http://dchector.free.fr/,,,,,,Freeware by Daniel Coulom; v0.1 from 2005; supports Interact/Victor/Hector computers; no longer maintained,
Interton VC 4000,WinArcadia,Windows,https://amigan.1emu.net/releases/,,,,,,.cos,Recommended for Interton VC 4000; multi-emulator for Arcadia 2001 and VC 4000 families; by James Jacobs
Interton VC 4000,AmiArcadia,AmigaOS;MorphOS,https://amigan.1emu.net/releases/,,,,,,.cos,Recommended; original Amiga port; same developer as WinArcadia
Interton VC 4000,DroidArcadia,Android,https://amigan.1emu.net/releases/,,,,,,.cos,Recommended; Android port of WinArcadia; requires Android 8.0+
Interton VC 4000,MAME,Windows;Linux;macOS,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,sta,.sta,Partial support via MAME/MESS; requires hash file for softlist; mid-level accuracy
Jupiter Ace,ZEsarUX,Windows;Linux;macOS,https://github.com/chernandezba/zesarux,,zesarux,,,~/.zesaruxrc,.zsf;.ace;.tap;.tzx,Excellent Jupiter Ace support; described as perfect emulation; supports RAM packs up to 51KB; Speaker and Soundbox sound
Jupiter Ace,MAME,Windows;Linux;macOS,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame_libretro,~/.mame/sta,.sta,MAME machine name: jupace; emulation status rated GOOD; save states supported
Jupiter Ace,EightyOne,Windows,https://github.com/charlierobson/EightyOne,,,,,,%APPDATA%\EightyOne,.p;.tzx;.z81;.ace
Konami - Picno,,,,,,,,,,"No recommended emulators found. MAME has a skeleton driver (non-functional) for Picno. The system is categorized as ""not yet emulated"" on the Emulation General Wiki."
LeapFrog - LeapPad,,,,,,,,,,"No recommended emulators found. The Emulation General Wiki indicates that there are currently no emulators available for any LeapPad devices (original 1999 model, LeapPad Explorer, LeapPad2, LeapPad3). MAME has preliminary Leapster support but not LeapPad. Preservation efforts are ongoing."
LeapFrog - Leapster Learning Game System,,,,,,,,,,No recommended emulators found. MAME has a preliminary driver but is marked NOT recommended - the driver is a skeleton that does not work (GAME_NOT_WORKING | GAME_NO_SOUND | GAME_IS_SKELETON).
Linux,Wine,Linux;macOS;FreeBSD;Android,https://www.winehq.org/,,wine-stable,org.winehq.Wine,,~/.wine/drive_c/users/steamuser,.sav;.srm,Wine Is Not an Emulator. Compatibility layer for running Windows applications. Default WINEPREFIX is ~/.wine. Includes Winetricks for dependency management.
Linux,Proton,Linux,https://github.com/ValveSoftware/Proton,,,,,,~/.steam/steam/steamapps/compatdata/<appid>/pfx/drive_c/users/steamuser,.sav;.srm
Magnavox Odyssey,Magnavody,Windows;Linux;macOS,https://classyk.itch.io/magnavody,,,,,,,Open source GPLv3 emulator/simulator. Also available on Steam. Paid ($3 USD). Active development.
Magnavox Odyssey,Odyssey Now: HAL,Windows;macOS,https://pathealy.itch.io/odyssey-now-hal,,,,,,,Pseudo-emulation by University of Pittsburgh Vibrant Media Lab. Free. In development.
Magnavox Odyssey,OdyWeb,Windows;Linux;macOS,https://prehistoricgaming.com/en/odyweb-the-html-magnavox-odyssey-simulator/,,,,,,,HTML/JavaScript browser-based simulator. Runs in any modern web browser. Free.
Magnavox Odyssey,OdySim,Windows;Linux;macOS,https://archive.org/details/OdySim,,,,,,,Built on LÖVE framework. Games as separate executables. Free. Inactive.
Magnavox Odyssey,Odyemu,Windows,https://archive.org/details/odyemu,,,,,,,MS-DOS emulator; requires DOSBox on modern systems. Created 1999. Free. Inactive.
Magnavox Odyssey,Magnavox Odyssey DS,Nintendo DS,https://www.gamebrew.org/wiki/Magnavox_Odyssey_DS,,,,,,,Nintendo DS homebrew only. Created by Bobbyloujo (2010). Free. Inactive.
Magnavox Odyssey 2,MAME,Windows;Linux;macOS;FreeBSD,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/sta;~/.mame/nvram,.sta;.nv,Active development; high accuracy; also emulates arcade and many other systems
Magnavox Odyssey 2,O2EM,Windows;Linux,http://o2em.sourceforge.net/,,,,o2em,~/.o2em,.state,Primary Odyssey 2/Videopac+ emulator; not actively maintained but highly compatible
Mattel Aquarius,MAME,Windows;Linux;macOS;FreeBSD,https://mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/nvram;~/.mame/sta;~/.mame/cfg,.nv;.sta;.cfg,Multi-system emulator; also emulates arcade and many other systems
Mattel HyperScan,MAME,Windows;Linux;macOS;FreeBSD,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/nvram;~/.mame/cfg;~/.mame/sta,.nv;.cfg;.sta,Sound not implemented for HyperScan emulation; RFID card scanning requires card images
Mattel Intellivision,jzIntv,Windows;Linux;macOS;Android,http://spatula-city.org/~im14u2c/intv/,,,,,~/.jzintv,.jlp,Most complete and accurate Intellivision emulator; JLP save game support via --jlp-savegame flag; jzIntvImGui provides GUI frontend
Mattel Intellivision,MAME,Windows;Linux;macOS;FreeBSD,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/nvram,.nv;.cfg,Multi-system emulator with good ECS and Intellivoice support
Mattel Intellivision,FreeIntv,Windows;Linux;macOS;Android;iOS,http://neocomputer.org/projects/freeintv/,,,,freeintv,~/.config/retroarch/saves,.state,Libretro core designed for SNES-era joypads; does not support ECS or Intellivoice
Mega Duck,SameDuck,Windows;Linux;macOS;FreeBSD;Android;iOS,https://github.com/libretro/sameduck,,,,,sameduck,~/.config/retroarch/saves,.srm;.rtc
Mega Duck,MAME,Windows;Linux;macOS;FreeBSD,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/nvram,.nv;.sta,Multi-system emulator; Duck Adventures incompatible; use .md1/.md2/.bin ROM extensions
Memotech MTX512,MEMU,Windows;Linux,https://memotech-bill.github.io/MEMU/,,,,,~/.memu/tapes;~/.memu/disks,.mtx;.wav;.cfg,Dedicated Memotech MTX emulator. Recommended. Command-line based. Also supports Raspberry Pi and Linux framebuffer. Original by Andy Key.
Memotech MTX512,MAME,Windows;Linux;macOS,https://www.mamedev.org/,,mame,org.mamedev.MAME,,~/.mame/nvram;~/.mame/cfg,.nv;.cfg,Multi-system emulator with MTX512 support (driver: memotech/mtx.cpp). Use romset mtx512.
Microsoft MSX,openMSX,Windows;Linux;macOS;Android,https://openmsx.org/,,openmsx-emulator,org.openmsx.openMSX,,~/.openMSX/savestates,.oms;.sram,Most accurate MSX emulator; includes C-BIOS for cartridge games without original firmware; supports MSX TurboR and Palcom LaserDisc games
Microsoft MSX,blueMSX,Windows,http://bluemsx.msxblue.com/,,,,bluemsx_libretro,~/.config/retroarch/saves,.sav;.sta,Cycle-accurate emulator; inactive but still functional; standalone only runs on Windows; libretro core available cross-platform via RetroArch
Microsoft MSX,fMSX,Windows;Linux;macOS;Android,https://fms.komkon.org/fMSX/,,,,fmsx_libretro,~/.config/retroarch/saves;~/.config/retroarch/states,.sav;.state,One of the earliest MSX emulators; highly portable; libretro core available; non-commercial license
Microsoft MSX,MSX.emu,Android;iOS;Linux,https://www.explusalpha.com/contents/msx-emu/,,,,,,~/.sta,Mobile-focused emulator based on blueMSX; supports save states in blueMSX .sta format
Microsoft MSX2+,openMSX,Windows;Linux;macOS;FreeBSD,https://openmsx.org/,,openmsx,org.openmsx.openMSX,,~/.openMSX/savestates;~/.openMSX/persistent,.oms;.sram;.pac,Most accurate MSX emulator; surpassed blueMSX in accuracy; supports Palcom LaserDisc games
Microsoft MSX2+,blueMSX,Windows,http://bluemsx.msxblue.com/,,,,,~/.bluemsx,.sta,Inactive project since 2009; cycle-accurate with very high compatibility
Microsoft MSX2+,blueMSX (libretro),Windows;Linux;macOS;Android;iOS,http://bluemsx.msxblue.com/,,,,bluemsx,RetroArch saves directory,.sram,RetroArch core; requires Databases and Machines folders from full blueMSX installation
Microsoft MSX2+,MAME,Windows;Linux;macOS;FreeBSD,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/nvram,.nv,Multi-system emulator with MSX2+ support via software lists
Microsoft MSX2+,MSX.emu,Android;iOS;Linux,https://www.explusalpha.com/contents/msx-emu,,,,,,~/.config/MSX.emu,.sta
Microsoft MSX2,openMSX,Windows;Linux;macOS;FreeBSD,https://openmsx.org/,,openmsx,org.openmsx.openMSX,,~/.openMSX/savestates,.oms,Most accurate MSX emulator; supports Palcom LaserDisc games; GPLv2 license
Microsoft MSX2,blueMSX,Windows,http://bluemsx.com/,,,,,~/.bluemsx,.sta,Inactive project; cycle-accurate with very high compatibility; BSD-3-Clause/GPLv2 license
Microsoft MSX2,blueMSX (libretro),Windows;Linux;macOS;FreeBSD;Android;iOS;Xbox,http://bluemsx.com/,,,,bluemsx_libretro,RetroArch saves directory,,RetroArch core does not support save states; requires Databases and Machines folders from blueMSX
Microsoft MSX2,fMSX (libretro),Windows;Linux;macOS;Android;iOS,http://fms.komkon.org/fMSX/,,,,fmsx_libretro,RetroArch saves directory,.srm;.state,Supports MSX/MSX2/MSX2+; based on fMSX 6.0 by Marat Fayzullin
Microsoft MSX2,MSX.emu,Android;iOS;Linux,https://www.explusalpha.com/contents/msx-emu,,,,,App-specific directory (Android: /sdcard/MSX.emu),.sta,Based on blueMSX; paid app on Google Play ($7.99); supports SCC and FM sound
Microsoft MSX2,MAME,Windows;Linux;macOS;FreeBSD,https://www.mamedev.org/,MAMEdev.MAME,mame,org.mamedev.MAME,mame_libretro,~/.mame/nvram;~/.mame/sta,.sta;.hi,Multi-system emulator; also emulates MSX1/MSX2/MSX2+/TurboR; GPLv2/BSD-3-Clause license
Microsoft Xbox,xemu,Windows;Linux;macOS,https://xemu.app/,xemu-project.xemu,xemu,app.xemu.xemu,,~/.local/share/xemu/xemu/xbox_hdd.qcow2,.qcow2,Saves stored in HDD image; 87.6% game compatibility; supports save states (snapshots)
Microsoft Xbox,Cxbx-Reloaded,Windows,https://cxbx-reloaded.co.uk/,,,,,%APPDATA%\Cxbx-Reloaded\EmuDisk\Partition1\UDATA\,,Windows only; runs via Wine on Linux; 16% game compatibility; HLE-based emulator
Microsoft Xbox 360,Xenia,Windows;Linux,https://xenia.jp,Xenia.Xenia,,,,~/Documents/xenia/content,,Primary recommended Xbox 360 emulator; ~55% game compatibility; Linux support via Xenia Canary/Edge builds; saves organized in content/[ProfileXUID]/[GameID]/[ContentType] structure
Microsoft - Xbox 360 (Digital),Xenia,Windows;Linux,https://xenia.jp,Xenia.Xenia,,,,~/Documents/xenia/content,,Primary Xbox 360 emulator; macOS experimental via CrossOver/Wine; Canary build available (Xenia.XeniaCanary); saves stored in content subfolder by title ID; no traditional file extensions for saves
Microsoft - XBOX 360 (Games on Demand),Xenia,Windows;Linux,https://xenia.jp,,,,,~/Documents/Xenia/content,,Recommended Xbox 360 emulator; Linux support experimental via native builds or Proton; saves use Xbox 360 STFS format (CON containers) without traditional file extensions; macOS support very experimental via unofficial xenia-mac port
Microsoft - XBOX 360 (Title Updates),Xenia,Windows;Linux,https://xenia.jp/,,,,,Documents/xenia/content,,Title Updates are handled by Xbox 360 emulators; Xenia Canary branch recommended; Linux support experimental via Wine/Proton
Microsoft Xbox One,,,,,,,,,,No recommended emulators found. Xbox One emulation is still in early experimental stages. WinDurango (https://github.com/WinDurango/WinDurango) is the only publicly available project but is not recommended - only Minecraft: Xbox One Edition runs successfully.
Microsoft Xbox Series X/S,,,,,,,,,,No recommended emulators found - no working emulators exist for Xbox Series X/S as of 2025. Most games are available as PC ports.
Mobile - J2ME,FreeJ2ME-Plus,Windows;Linux;macOS,https://github.com/TASEmulators/freej2me-plus,,,freej2me,./rms,,Excellent for 2D games with 94.93% compatibility; preliminary M3G (3D) support; libretro core requires freej2me-lr.jar in system folder,
Mobile - J2ME,J2ME Loader,Android,https://github.com/nikita36078/J2ME-Loader,,,,/storage/emulated/0/Android/data/ru.playsoftware.j2meloader/files,,Highest compatibility J2ME emulator; supports 2D and 3D including Mascot Capsule 3D; Android-only,
Mobile - J2ME,JL-Mod,Android,https://github.com/woesss/JL-Mod,,,,/storage/emulated/0/Android/data/ru.playsoftware.j2meloader/files,,Fork of J2ME Loader with more frequent updates; improved soundfont support; better external storage access,
Mobile - J2ME,KEmulator nnmod,Windows;Linux;macOS,https://github.com/shinovon/KEmulator,,,,./RMS,,High compatibility with advanced homebrew development features; Windows XP-11; Linux GTK3; macOS 10.13+,
Mobile - Palm OS,Mu,Windows;Linux;macOS;Android,https://github.com/meepingsnesroms/Mu,,,,mu,~/.config/retroarch/states,.state,Libretro core focusing on Palm m515 with OS 4.1; also available as Qt standalone build
Mobile - Palm OS,CloudpilotEmu,Web;iOS;Linux;macOS;Windows,https://cloudpilot-emu.github.io/,,,,,,.prc;.pdb,Web-based emulator with iOS App Store native app; supports OS 1-4 (Dragonball) and OS5 (Tungsten E2); browser localStorage for saves
Mobile - Palm OS,PHEM,Android,https://github.com/Florin9doi/PHEM,,,,,/sdcard/phem/,,Palm Hardware Emulator M68k; available on Google Play Store; supports up to Palm OS 4.2; sessions stored in phem directory
Mobile - Symbian,EKA2L1,Windows;Linux;macOS;Android,https://eka2l1.github.io/,EKA2L1.EKA2L1,,,,./data/drivers/private/,,Experimental Symbian OS and N-Gage emulator; supports S60v1/S60v2/S60v3/S60v5/S^3 and S80; saves stored within emulated device filesystem; GPLv3 license; development is part-time hobby since 2022
Mobile - Zeebo,Infuse,Windows;Linux;macOS,https://github.com/Tuxality/Infuse,,,,,~/.Tuxality/Infuse,,Early development; only Crash Nitro Kart 3D and Double Dragon and Zeebo Family Pack fully playable; WIP recommended on Emulation General Wiki
MS-DOS,DOSBox-X,Windows;Linux;macOS;FreeBSD,https://dosbox-x.com,joncampbell123.DOSBox-X,dosbox-x,com.dosbox_x.DOSBox-X,,~/.config/dosbox-x,.dss,Complete DOS emulation package with Windows 3.x/9x support; extensive configuration options
MS-DOS,DOSBox Pure,Windows;Linux;macOS;FreeBSD;Android;iOS,https://github.com/schellingb/dosbox-pure,,,org.libretro.RetroArch,dosbox_pure_libretro,~/.config/retroarch/saves,.save.zip,RetroArch/libretro core with save states and rewind support; loads games directly from ZIP files
MS-DOS,86Box,Windows;Linux;macOS,https://86box.net,86Box.86Box,86box,net._86box._86Box,,~/.local/share/86Box,.cfg,Low-level x86 PC emulator; requires BIOS ROMs; excellent hardware/peripheral support for DOS
MS-DOS,DREAMM,Windows;Linux;macOS,https://dreamm.aarongiles.com,,,,,~/.local/share/Aaron Giles/DREAMM,,Specialized emulator for LucasArts games only; supports 45+ titles; created by former LucasArts programmer
MUGEN,Ikemen GO,Windows;Linux;macOS,https://ikemen-engine.github.io/,IkemenGO.IkemenGO,,,,./save,.json,Recommended open-source MUGEN engine rewrite in Go; active development; config at save/config.json and stats at save/stats.json
MUGEN,MUGEN,Windows;Linux;macOS,https://www.elecbyte.com/mugendocs-11b1/mugen.html,,,,,,Proprietary engine by Elecbyte; inactive since 2013 (v1.1 beta 1); official site down but documentation accessible,
Namco System 22,MAME,Windows;Linux;macOS,https://www.mamedev.org/,MAMEdev.MAME,mame,org.mamedev.MAME,mame_libretro,~/.mame/nvram,.nv;.hi;.cfg;.sta,Recommended multi-system arcade emulator with extensive Namco System 22 support including Ridge Racer games
NEC PC-8801,QUASI88,Windows;Linux;macOS;FreeBSD;Android;iOS,https://www.eonet.ne.jp/~showtime/quasi88/,,,org.libretro.RetroArch,quasi88,~/.var/app/org.libretro.RetroArch/config/retroarch/saves,.srm,Recommended; RetroArch core supports RetroAchievements; standalone version 0.7.3; uses SDL2
NEC PC-8801,XM8,Windows;Linux;macOS;Android,http://retropc.net/pi/xm8/,,,,,~/.local/share/retro_pc_pi/xm8,.d88,Recommended; version 1.70; based on ePC-8801MA; macOS port by bubio at github.com/bubio/xm8mac
NEC PC-8801,M88kai,Windows,http://nenecchi.kirara.st/,,,,,./,.d88;.sta,Recommended; version 2.21a; saves states in emulator directory; requires BIOS ROMs
NEC PC-8801,ePC-8801MA,Windows,http://takeda-toshiya.my.coocan.jp/pc9801/index.html,,,,,./,.d88,Recommended; part of Common Source Code Project; GPLv2 licensed; basis for XM8
NEC PC-8801,MAME,Windows;Linux;macOS;FreeBSD,https://www.mamedev.org/,,mame,org.mamedev.MAME,,~/.mame/nvram;~/.mame/sta,.nv;.sta,PC-8801MA/MH/mkIISR promoted to working status in v0.251; emulation still incomplete
NEC PC-9801,Neko Project 21/W,Windows,https://simk98.github.io/np21w/,,,,,./,.sta,Recommended; version 0.86 rev99; best accuracy for later PC-98 models (1993-2000); supports PC-9821 features; add STATSAVE=true to np21w.ini to enable save states
NEC PC-9801,NP2kai,Windows;Linux;macOS;Android;iOS,https://github.com/AZO234/NP2kai,,,org.libretro.RetroArch,np2kai,~/.var/app/org.libretro.RetroArch/config/retroarch/saves,.state,Recommended; libretro/RetroArch core; cross-platform; based on Neko Project II; config at system/np2kai/np2kai.cfg; requires BIOS files in np2kai directory
NEC PC-9801,DOSBox-X,Windows;Linux;macOS;FreeBSD,https://dosbox-x.com/,joncampbell123.DOSBox-X,dosbox-x,com.dosbox_x.DOSBox-X,dosbox_pure,~/.config/dosbox-x/,.dss,Recommended; actively maintained; PC-98 mode via machine=pc98 config; easy setup; also available as libretro core dosbox_pure; Flatpak config at ~/.var/app/com.dosbox_x.DOSBox-X/config/dosbox-x/
NEC PC-FX,Mednafen,Windows;Linux;macOS;FreeBSD,https://mednafen.github.io/,,mednafen,com.github.AmatCoder.mednaffe,mednafen_pcfx,~/.mednafen/sav,.sav,Mid-High accuracy; primary recommended emulator; Flatpak provides Mednaffe GUI frontend which includes Mednafen
NEC PC-FX,Provenance,iOS;tvOS,https://provenance-emu.com/,,,,,,Recommended for iOS/tvOS; uses Mednafen core internally; available on App Store or via sideloading,
NEC TurboGrafx-16,Mednafen,Windows;Linux;macOS;FreeBSD,https://mednafen.github.io/,,mednafen,com.github.AmatCoder.mednaffe,beetle_pce_fast;beetle_supergrafx,~/.mednafen/sav,.sav;.mca,Command-line emulator; Flatpak is for Mednaffe frontend which includes Mednafen; RetroArch cores are Beetle PCE Fast and Beetle SuperGrafx
NEC TurboGrafx-16,ares,Windows;Linux;macOS;FreeBSD,https://ares-emu.net/,AresEmulator.Ares,ares-emulator,dev.ares.ares,,~/Emulation/ares/Saves,.sav,Cycle-accurate multi-system emulator; save path configurable in Settings > Paths
NEC TurboGrafx-16,Mesen,Windows;Linux;macOS,https://www.mesen.ca/,SourMesen.Mesen2,,,mesen,~/.config/Mesen2/Saves,.sav,Multi-system emulator supporting PC Engine/SuperGrafx/CD-ROM²; Mesen2 is the current version
NEC TurboGrafx-CD,Mednafen,Windows;Linux;macOS;FreeBSD,https://mednafen.github.io/,,,com.github.AmatCoder.mednaffe,beetle_pce_fast,~/.mednafen/sav,.mcr;.sav,Beetle PCE FAST and Beetle PCE (accurate) cores available for RetroArch. Flatpak is for Mednaffe GUI frontend which includes Mednafen.
NEC TurboGrafx-CD,Ares,Windows;Linux;macOS;FreeBSD,https://ares-emu.net/,AresEmulator.Ares,ares-emulator,dev.ares.ares,,~/.local/share/ares/Saves,.sav,Multi-system emulator focused on accuracy and preservation. Successor to higan/bsnes.
NEC TurboGrafx-CD,Mesen,Windows;Linux;macOS,https://mesen.ca/,SourMesen.Mesen2,,,mesen,~/Documents/Mesen/Saves,.sav,Mesen 2.x supports PC Engine/TurboGrafx-CD. Libretro core is NES-only (based on older 0.x branch).
NEC TurboGrafx-CD,BizHawk,Windows;Linux,https://tasvideos.org/BizHawk,,,,,BizHawk/PCE/SaveRAM,.SaveRAM,TAS-focused emulator with cycle-accurate PCE core. Uses Mednafen's PCE core internally.
Nintendo 3DS,Azahar,Windows;Linux;macOS;Android;iOS,https://azahar-emu.org/,AzaharEmu.Azahar,,org.azahar_emu.Azahar,citra_libretro,~/.local/share/azahar-emu/sdmc/Nintendo 3DS,main,Citra successor formed from Lime3DS and PabloMK7 fork merger. Uses folder-based saves with main file.
Nintendo 3DS,Panda3DS,Windows;Linux;macOS;Android,https://panda3ds.com/,,,,,~/.local/share/Panda3DS/sdmc/Nintendo 3DS,main,HLE emulator with libretro core available via experimental cores. Uses config.toml for settings.
Nintendo 3DS,Tanuki3DS,Windows;Linux;macOS,https://github.com/burhanr13/Tanuki3DS,,,,,~/.local/share/tanuki3ds,main,HLE emulator written in C. Has libretro-tanuki3ds WIP core. Uses ctremu.ini for config.
Nintendo 64,ares,Windows;Linux;macOS,https://ares-emu.net/,AresEmulator.Ares,ares-emulator,dev.ares.ares,,~/.local/share/ares/Nintendo 64,.eeprom;.flash;.pak,High accuracy multi-system emulator; uses .eeprom and .flash instead of common .eep and .fla extensions
Nintendo 64,Gopher64,Windows;Linux,https://github.com/gopher64/gopher64,,,io.github.gopher64.gopher64,,~/.local/share/gopher64,.sra;.eep;.fla;.mpk,More accurate than simple64; built-in netplay; successor to Simple64
